Set test time: 1900 s
=========Thermal Cap[pxa1936ff]==========
time temp CPU0 CPU4 GC2D GC3D DDR
1413 51000 624000 832000 78000 156000 416000
1414 51000 416000 832000 78000 312000 416000
1415 51000 624000 624000 78000 312000 416000
1416 51000 416000 624000 78000 312000 416000
1417 50000 416000 624000 78000 156000 312000
1418 50000 416000 624000 78000 156000 312000
1419 50000 624000 832000 78000 312000 416000
1420 51000 416000 624000 78000 156000 312000
1421 51000 416000 624000 78000 156000 312000
1422 50000 416000 624000 78000 156000 312000
1423 51000 416000 624000 78000 156000 416000
1424 50000 416000 624000 78000 312000 312000
1425 51000 624000 832000 78000 156000 416000
1426 51000 624000 832000 78000 312000 528000
1427 52000 624000 832000 78000 312000 528000
1428 51000 416000 624000 78000 312000 312000
1429 50000 416000 624000 78000 156000 416000
1431 50000 624000 832000 78000 312000 416000
1432 51000 416000 624000 78000 156000 312000
1433 50000 624000 832000 78000 312000 312000
1434 51000 416000 624000 78000 156000 416000
1435 50000 624000 832000 78000 156000 416000
1436 50000 416000 624000 78000 312000 416000
1437 51000 416000 624000 78000 312000 416000
1438 50000 416000 624000 78000 312000 312000
1439 50000 416000 832000 78000 156000 416000
1440 50000 416000 624000 78000 156000 312000
1441 50000 416000 624000 78000 312000 312000
1442 51000 416000 624000 78000 156000 312000
1443 50000 416000 624000 78000 312000 312000
1444 51000 416000 624000 78000 312000 416000
1445 50000 416000 624000 78000 156000 312000
1446 50000 416000 624000 78000 156000 528000
1447 51000 416000 624000 78000 156000 312000
1448 50000 416000 624000 78000 312000 312000
1449 50000 624000 832000 78000 312000 416000
1451 50000 416000 624000 78000 156000 312000
1452 51000 416000 624000 78000 156000 312000
1453 51000 832000 1526000 78000 312000 416000
1454 52000 624000 832000 78000 156000 312000
1455 52000 416000 624000 78000 312000 416000
1456 52000 624000 832000 78000 832000 416000
1457 52000 416000 624000 312000 156000 312000
1458 50000 832000 1526000 78000 156000 312000
1459 48000 416000 624000 78000 156000 156000
1460 48000 416000 624000 78000 156000 156000
1461 48000 832000 1526000 78000 156000 156000
1462 48000 832000 1526000 78000 156000 156000
1463 48000 624000 832000 156000 156000 312000
1464 47000 832000 1248000 78000 156000 156000
1465 47000 416000 624000 78000 156000 312000
1466 46000 416000 624000 78000 156000 156000
1467 46000 416000 624000 78000 156000 156000
1468 46000 416000 624000 78000 156000 156000
1469 45000 832000 1526000 78000 156000 156000
1470 45000 624000 1057000 78000 156000 312000
1471 45000 416000 624000 78000 156000 156000
1472 45000 416000 624000 78000 156000 156000
1474 45000 416000 624000 312000 156000 312000
1475 45000 416000 624000 78000 156000 156000
1476 45000 416000 624000 78000 156000 312000
1477 45000 416000 624000 78000 156000 312000
1478 44000 416000 624000 78000 156000 156000
1479 47000 624000 1057000 78000 156000 312000
1480 45000 624000 832000 78000 156000 312000
1481 45000 416000 624000 78000 156000 156000
1482 45000 832000 1526000 78000 156000 156000
1483 44000 416000 624000 78000 156000 156000
1484 44000 416000 624000 312000 156000 312000
1485 44000 832000 1526000 312000 156000 416000
1486 44000 416000 624000 78000 156000 156000
1487 44000 416000 624000 78000 156000 312000
1488 44000 416000 624000 78000 156000 312000
1489 44000 416000 624000 78000 156000 156000
1490 43000 416000 832000 78000 156000 156000
1491 47000 624000 624000 78000 624000 312000
1492 45000 416000 624000 78000 156000 156000
